party,per_14,per_19
BYPP,0.11%,0.00%
BARESP,0.11%,0.00%
PPIS,0.11%,0.02%
RTAMP,0.11%,0.00%
DPIN,0.11%,0.00%
BIP,0.11%,0.16%
JAAP,0.11%,0.00%
RAPI,0.11%,0.00%
RASMARP,0.10%,0.00%
RDU,0.10%,0.00%
DABAP,0.10%,0.26%
KPPR,0.10%,0.00%
SMFB,0.10%,0.00%
RJNP,0.10%,0.17%
HBP,0.10%,0.00%
UMK,0.10%,0.08%
RACHEP,0.10%,0.00%
RTORP,0.10%,0.00%
AVIRP,0.10%,0.11%
rajpt,0.10%,0.00%
SaRaPa,0.10%,0.00%
PRJP,0.10%,0.00%
BHAPRAP,0.10%,0.00%
NaLP,0.10%,0.21%
DMSK,0.10%,0.00%
MNDP,0.10%,0.11%
SanS,0.10%,0.00%
NATJUP,0.10%,0.00%
VIPty,0.10%,0.00%
ASaP,0.10%,0.09%
SJPT,0.10%,0.00%
RaJPa,0.10%,0.01%
AVVP,0.10%,0.00%
BSHSP,0.10%,0.00%
MDKMGPH,0.10%,0.00%
RGOP,0.10%,0.00%
YJJP,0.10%,0.00%
JaSSP,0.10%,0.00%
BSP(A),0.10%,0.14%
BaHaP,0.10%,0.00%
aicp,0.10%,0.08%
INL,0.10%,0.17%
RMMP,0.10%,0.00%
RasLP,0.10%,0.00%
PPOI,0.09%,0.31%
IPBP,0.09%,0.00%
ARPS,0.09%,0.25%
ANSP,0.09%,0.00%
BJNP,0.09%,0.00%
ADRSP,0.09%,0.00%
BSUSP,0.09%,0.00%
NATWOMP,0.09%,0.00%
GJPP,0.09%,0.00%
SDC,0.09%,0.00%
BHAZS,0.09%,0.00%
RJanPty,0.09%,0.00%
BPSJP,0.09%,0.00%
BRSP,0.09%,0.00%
AIP,0.09%,0.00%
BUNKD,0.09%,0.00%
KMBS,0.09%,0.23%
RND,0.09%,0.18%
FDLP,0.09%,0.00%
RP(K),0.09%,0.83%
NIDP,0.09%,0.00%
JSEP,0.09%,0.13%
YSRPP,0.09%,0.00%
VMSKP,0.09%,0.00%
RSDal,0.09%,0.00%
bmd,0.09%,0.00%
BHPP,0.08%,0.13%
INDPP,0.08%,0.00%
EP,0.08%,0.00%
ACP,0.08%,0.00%
ABHS,0.08%,0.00%
KBD,0.08%,0.00%
BKNP,0.08%,0.00%
RBCP,0.08%,0.17%
SDSP,0.08%,0.00%
NABMUP,0.08%,0.00%
ESP,0.08%,0.00%
SABJANP,0.08%,0.00%
JMBP,0.08%,0.13%
USIP,0.08%,0.00%
RAJSPty,0.08%,0.00%
RJBVP,0.08%,0.00%
BMSM,0.08%,0.21%
RJSNP,0.08%,0.00%
SwaBP,0.08%,0.00%
JD,0.08%,0.00%
AnAP,0.08%,0.00%
JKPPAP,0.08%,0.00%
RTKP,0.08%,0.06%
SAKAP,0.08%,0.00%
RRS,0.08%,0.00%
HJP,0.08%,0.19%
svjn,0.08%,0.00%
JPS,0.08%,0.23%
bns,0.08%,0.05%
rpsn,0.08%,0.00%
HuSP,0.08%,0.00%
BJSPP,0.08%,0.00%
BEPP,0.08%,0.00%
BMVSP,0.08%,0.00%
JKPS,0.08%,0.00%
jhspt,0.07%,0.32%
PAP,0.07%,0.04%
